! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_35.txt
! Version: 1.0.15.12
! Last modified: 2025-06-18T14:52:36.156Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 adserver.raceonline.hu
0.0.0.0 a.adnium.com
0.0.0.0 ad.depo.hu
0.0.0.0 ad.gyermekevek.hu
0.0.0.0 ad.hirekmedia.hu
0.0.0.0 ad.kapos.hu
0.0.0.0 ad.love.hu
0.0.0.0 ad.napilapcsoport.hu
0.0.0.0 ad.onadozo.hu
0.0.0.0 ad.parom.hu
0.0.0.0 ad.pphungary.hu
0.0.0.0 ad.szexneked.hu
0.0.0.0 adfair.hu
0.0.0.0 adfree-stat.p3g.hu
0.0.0.0 admanager.magyarhirlap.hu
0.0.0.0 ads.geeks.hu
0.0.0.0 adv.forpsi.hu
0.0.0.0 adv.hu
0.0.0.0 adverbs.napilapcsoport.hu
0.0.0.0 app.livechatoo.com
0.0.0.0 audit.median.hu
0.0.0.0 avatraffic.com
0.0.0.0 banner.webtar.hu
0.0.0.0 bannerzone.agroinform.hu
0.0.0.0 brostraffic.com
0.0.0.0 campaign-remp.444.hu
0.0.0.0 cdn-dynamic.optimonk.com
0.0.0.0 daserver.ultraweb.hu
0.0.0.0 et.twyn.com
0.0.0.0 fourtwentytradingcompany.net
0.0.0.0 fruitflan.com
0.0.0.0 iofferphoto.com
0.0.0.0 loading-delivery2.com
0.0.0.0 media.netpositive.hu
0.0.0.0 netadclick.com
0.0.0.0 netexs.com
0.0.0.0 pixel.blog.hu
0.0.0.0 pixel.sojern.com
0.0.0.0 rc.rc.hu
0.0.0.0 rc.rootclick.com
0.0.0.0 redwolfmoon.com
0.0.0.0 related.hu
0.0.0.0 smartcj.com
0.0.0.0 stat.adultium.com
0.0.0.0 stats.badoostats.com
0.0.0.0 syndication.trafficreps.com
0.0.0.0 up-banner.wavecdn.de
0.0.0.0 vid4u.org
0.0.0.0 widget.block4d.com
0.0.0.0 wstat.ozon.ru
0.0.0.0 chatrobot.mia.gov.hu
0.0.0.0 chimpstatic.com
0.0.0.0 adat.agrokep.vg.hu
0.0.0.0 adat.borsonline.hu
0.0.0.0 adat.figyelo.hu
0.0.0.0 adat.freemail.hu
0.0.0.0 adat.hirtv.hu
0.0.0.0 adat.ingatlanbazar.hu
0.0.0.0 adat.kisalfold.hu
0.0.0.0 adat.koponyeg.hu
0.0.0.0 adat.life.hu
0.0.0.0 adat.magyarnemzet.hu
0.0.0.0 adat.mandiner.hu
0.0.0.0 adat.metropol.hu
0.0.0.0 adat.mindmegette.hu
0.0.0.0 adat.nemzetisport.hu
0.0.0.0 adat.origo.hu
0.0.0.0 adat.ripost.hu
0.0.0.0 adat.she.life.hu
0.0.0.0 adat.vg.hu
0.0.0.0 adat.videa.hu
0.0.0.0 adform.net
0.0.0.0 adtrackeraa.com
0.0.0.0 beam-tracker.telex.hu
0.0.0.0 beam.telex.hu
0.0.0.0 counter.megagroup.ru
0.0.0.0 doubleclick.net
0.0.0.0 gemius.hu
0.0.0.0 gemius.pl
0.0.0.0 indexstat.index.hu
0.0.0.0 mediaownerscloud.com
0.0.0.0 px.blog.hu
0.0.0.0 smartadserver.com
0.0.0.0 tracker-remp.magyarnarancs.hu
0.0.0.0 tracker.24xtra.hu
0.0.0.0 tracker.azet.sk
0.0.0.0 trackerapi.ebxcdn.com
0.0.0.0 tracking.binarypromos.com
0.0.0.0 tracking.tchibo.hu
0.0.0.0 aliexpress.hu
0.0.0.0 aliexpressz.hu
0.0.0.0 azsiacenter.hu
0.0.0.0 azsiacentrum.hu
0.0.0.0 kinaiwebaruhaz.hu
0.0.0.0 maplin.hu
0.0.0.0 mikroelektronik.hu
0.0.0.0 petpoolalarm.com
0.0.0.0 sexmeup.hu
