! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_20.txt
! Version: 1.0.14.52
! Last modified: 2025-06-18T14:52:33.703Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 10bet.com
0.0.0.0 2mdn.net
0.0.0.0 a.kajgana.com
0.0.0.0 a.sitel.com.mk
0.0.0.0 a.skopjeinfo.mk
0.0.0.0 acadv.net
0.0.0.0 adxbid.info
0.0.0.0 adxpremium.services
0.0.0.0 ad.doubleclick.net
0.0.0.0 ad.httpool.com
0.0.0.0 ad.mox.tv
0.0.0.0 adexchange.mk
0.0.0.0 adocean.pl
0.0.0.0 ads.1cm.com.mk
0.0.0.0 ads.360stepeni.mk
0.0.0.0 ads.365.mk
0.0.0.0 ads.avtoplus.mk
0.0.0.0 ads.com.mk
0.0.0.0 ads.crnobelo.mk
0.0.0.0 ads.deca.mk
0.0.0.0 ads.ekipa.mk
0.0.0.0 ads.emedia.mk
0.0.0.0 ads.epp.mk
0.0.0.0 ads.exdynsrv.com
0.0.0.0 ads.faktor.mk
0.0.0.0 ads.fakulteti.mk
0.0.0.0 ads.fashionel.mk
0.0.0.0 ads.fokus.mk
0.0.0.0 ads.foxit.mk
0.0.0.0 ads.gol.mk
0.0.0.0 ads.gostivarpress.mk
0.0.0.0 ads.grouper.mk
0.0.0.0 ads.idividi.com.mk
0.0.0.0 ads.it.mk
0.0.0.0 ads.kafepauza.mk
0.0.0.0 ads.kajgana.com
0.0.0.0 ads.kanal77.mk
0.0.0.0 ads.kumanovonews.com
0.0.0.0 ads.libertas.mk
0.0.0.0 ads.lokalno.mk
0.0.0.0 ads.makfudbal.mk
0.0.0.0 adserver.mia.mk
0.0.0.0 ads.mkd.mk
0.0.0.0 ads.mms.mk
0.0.0.0 ads.nexage.com
0.0.0.0 ads.novatv.mk
0.0.0.0 ads.pari.com.mk
0.0.0.0 ads.plusinfo.mk
0.0.0.0 ads.press24.mk
0.0.0.0 ads.programattik.com
0.0.0.0 ads.pubmatic.com
0.0.0.0 ads.24rakomet.mk
0.0.0.0 ads.ringaraja.net
0.0.0.0 ads.skopjeinfo.mk
0.0.0.0 ads.sportm.mk
0.0.0.0 ads.sport1.mk
0.0.0.0 ads.sportclub.mk
0.0.0.0 ads.sportmedia.mk
0.0.0.0 ads.stankov.me
0.0.0.0 ads.studenti.mk
0.0.0.0 ads.telma.com.mk
0.0.0.0 ads.tocka.com.mk
0.0.0.0 ads.trendolend.mk
0.0.0.0 ads.tv21.tv
0.0.0.0 ads.vecer.press
0.0.0.0 ads.vionservices.com
0.0.0.0 ads.vrabotuvanje.com.mk
0.0.0.0 adsdms.mk
0.0.0.0 adserver.mk
0.0.0.0 adserver.neotel.mk
0.0.0.0 adserver.piksel.mk
0.0.0.0 adservice.google.com
0.0.0.0 adservice.google.mk
0.0.0.0 advertiseserve.com
0.0.0.0 amazon-adsystem.com
0.0.0.0 aplikacii.com
0.0.0.0 baneri.24fudbal.com.mk
0.0.0.0 bet365affiliates.com
0.0.0.0 bttrack.com
0.0.0.0 c.adskeeper.co.uk
0.0.0.0 c.mgid.com
0.0.0.0 cdn.adskeeper.co.uk
0.0.0.0 cdn.mgid.com
0.0.0.0 cdn.revcontent.com
0.0.0.0 certify-js.alexametrics.com
0.0.0.0 certify.alexametrics.com
0.0.0.0 clevernt.com
0.0.0.0 clickattack.mk
0.0.0.0 cm.adskeeper.co.uk
0.0.0.0 cm.g.doubleclick.net
0.0.0.0 cm.marketgid.com
0.0.0.0 cm.mgid.com
0.0.0.0 cm.revcontent.com
0.0.0.0 coinmedia.tk
0.0.0.0 d.agkn.com
0.0.0.0 display.nativemedia.rs
0.0.0.0 doubleclick.net
0.0.0.0 ds-aksb-a.akamaihd.net
0.0.0.0 eadsrv.com
0.0.0.0 easyads.bg
0.0.0.0 easyplatform.com
0.0.0.0 gads.pubmatic.com
0.0.0.0 gamk.hit.gemius.pl
0.0.0.0 googleads.g.doubleclick.net
0.0.0.0 googlesyndication.com
0.0.0.0 hipersushiads.com
0.0.0.0 httpool.com
0.0.0.0 httpool.com.mk
0.0.0.0 iab.mk
0.0.0.0 ib.adnxs.com
0.0.0.0 images.taboola.com
0.0.0.0 img.revcontent.com
0.0.0.0 ireklama.mk
0.0.0.0 jsc.adskeeper.co.uk
0.0.0.0 jsc.mgid.com
0.0.0.0 keepaneye.mk
0.0.0.0 keepaneyeadmk.hit.gemius.pl
0.0.0.0 keepaneyegdemk.hit.gemius.pl
0.0.0.0 keepaneyemk.adocean.pl
0.0.0.0 lacmus.mk
0.0.0.0 live.acads.net
0.0.0.0 live.acadv.net
0.0.0.0 load77.exelator.com
0.0.0.0 loadm.exelator.com
0.0.0.0 marketgid.com
0.0.0.0 marketing.centar.com.mk
0.0.0.0 marketing.utrinskivesnik.mk
0.0.0.0 mas.nth.ch
0.0.0.0 match.adsrvr.org
0.0.0.0 match.taboola.com
0.0.0.0 mgid.com
0.0.0.0 midas-network.com
0.0.0.0 mkkeepaneyegde.adocean.pl
0.0.0.0 mobi-promo.com
0.0.0.0 mozzart.ideaplus.mk
0.0.0.0 n.ads-adnow.com
0.0.0.0 n.ads1-adnow.com
0.0.0.0 n.ads2-adnow.com
0.0.0.0 n.ads3-adnow.com
0.0.0.0 n.ads4-adnow.com
0.0.0.0 n.ads5-adnow.com
0.0.0.0 nativemedia.rs
0.0.0.0 net-ads.mk
0.0.0.0 onesignal.com
0.0.0.0 pagead46.l.doubleclick.net
0.0.0.0 panel.ads.com.mk
0.0.0.0 pixel.onaudience.com
0.0.0.0 pixel.quantserve.com
0.0.0.0 pubpress.net
0.0.0.0 r.denar.mk
0.0.0.0 reklami.24fudbal.mk
0.0.0.0 reklami.daily.mk
0.0.0.0 reklami.gbccom.com.mk
0.0.0.0 relay-mk.ads.httpool.com
0.0.0.0 rev.balkanmediagroup.com
