! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_59.txt
! Version: 1.0.16.50
! Last modified: 2025-06-18T14:52:27.598Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 buoydeparturediscontent.com
0.0.0.0 plush-abuse.com
0.0.0.0 obnoljac.com
0.0.0.0 zipup.click
0.0.0.0 cpmemes.cfd
0.0.0.0 fileescd.cfd
0.0.0.0 productdownload.pro
0.0.0.0 catoixeam.click
0.0.0.0 trgfx.b-cdn.net
0.0.0.0 westfile-dl.click
0.0.0.0 worshippers.store
0.0.0.0 lolostan.com
0.0.0.0 8s5s.com
0.0.0.0 nvpartnerspromo.com
0.0.0.0 semygruja.com
0.0.0.0 4bind2.cfd
0.0.0.0 splendlddate.com
0.0.0.0 tds.favbet.partners
0.0.0.0 pbl3citto.com
0.0.0.0 pnwrs5xz.click
0.0.0.0 kdnvieos.my
0.0.0.0 ufbcrgms.com
0.0.0.0 directone.xyz
0.0.0.0 dramaticsalad.com
0.0.0.0 debridleech.com
0.0.0.0 trckkkk.com
0.0.0.0 hopgp.com
0.0.0.0 loowhujoom.net
0.0.0.0 glugherg.net
0.0.0.0 feckurteg.net
0.0.0.0 speedybytes.cfd
0.0.0.0 directsnap.click
0.0.0.0 land.izuchai.dance
0.0.0.0 wobbly-birth.com
0.0.0.0 movies-watch-time.club
0.0.0.0 jhu8u9.pro
0.0.0.0 fdolspwa.my
0.0.0.0 predictivadnetwork.com
0.0.0.0 tracking.pretrackings.com
0.0.0.0 my.toruftuiov.com
0.0.0.0 esvpnjdntgr.com
0.0.0.0 countabledawdlerunaudited.com
0.0.0.0 lmj8i.pro
0.0.0.0 ytru4.pro
0.0.0.0 get.stoplocker.com
0.0.0.0 globalwoldsinc.com
0.0.0.0 randomadsrv.com
0.0.0.0 crmentjg.com
0.0.0.0 crmtt.livejasmin.com
0.0.0.0 patakaendymal.top
0.0.0.0 noopapnoeic.digital
0.0.0.0 gaming001.site
0.0.0.0 wenoolgo.icu
0.0.0.0 s.pemsrv.com
0.0.0.0 primeleech.com
0.0.0.0 malikiresids.com
0.0.0.0 dlmonitize.com
0.0.0.0 beyourxfriend.com
0.0.0.0 a.labadena.com
0.0.0.0 whiteforwardlines.com
0.0.0.0 exinariuminix.info
0.0.0.0 chabadokor.com
0.0.0.0 truthfulsensor.com
0.0.0.0 go2click.online
0.0.0.0 ak.oalsauwy.net
0.0.0.0 efully.info
0.0.0.0 big-loads.com
0.0.0.0 yieldtrk.com
0.0.0.0 antivi.xyz
0.0.0.0 myreqdcompany.com
0.0.0.0 impresivedate.com
0.0.0.0 datingmeetnet.com
0.0.0.0 celxkpdir.com
0.0.0.0 vlcdownloads.com
0.0.0.0 theupgradedata.com
0.0.0.0 ckl.fbmedia-ckl.com
