! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_7.txt
! Version: 1.0.14.52
! Last modified: 2025-06-18T14:52:32.520Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 smartclip.com
0.0.0.0 smartclip.net
0.0.0.0 myhomescreen.tv
0.0.0.0 vindicosuite.com
0.0.0.0 api-mf1.meta.ndmdhs.com
0.0.0.0 b02.black.ndmdhs.com
0.0.0.0 bravia.dl.playstation.net
0.0.0.0 call.me.sel.sony.com
0.0.0.0 flingo.tv
0.0.0.0 sonybivstatic-a.akamaihd.net
0.0.0.0 facemap.foldlife.net
0.0.0.0 bdcore-apr-lb.bda.ndmdhs.com
0.0.0.0 tvsideviewandroidv2-cfgdst-ore-pro.bda.ndmdhs.com
0.0.0.0 api.cid.samba.tv
0.0.0.0 preferences.cid.samba.tv
0.0.0.0 bravia-cfgdst-ore-pro.bda.ndmdhs.com
0.0.0.0 ad.lgappstv.com
0.0.0.0 ibis.lgappstv.com
0.0.0.0 lgad.cjpowercast.com.edgesuite.net
0.0.0.0 lgsmartad.com
0.0.0.0 ibs.lgappstv.com
0.0.0.0 yumenetworks.com
0.0.0.0 smartshare.lgtvsdp.com
0.0.0.0 rdx2.lgtvsdp.com
0.0.0.0 lgtvcommon.com
0.0.0.0 aic-ngfts.lge.com
0.0.0.0 legacyportal.nettvservices.com
0.0.0.0 nettv.corio.com
0.0.0.0 ad.nettvservices.com
0.0.0.0 abtauthprd.samsungcloudsolution.com
0.0.0.0 samsungads.com
0.0.0.0 amauthprd.samsungcloudsolution.com
0.0.0.0 api-hub.samsungyosemite.com
0.0.0.0 az43064.vo.msecnd.net
0.0.0.0 cdn.samsungcloudsolution.net
0.0.0.0 Coordinator-Production-28516768.us-east-1.elb.amazonaws.com
0.0.0.0 d179kwmlpc4o47.cloudfront.net
0.0.0.0 d1jwpcr0q4pcq0.cloudfront.net
0.0.0.0 d2tnx644ijgq6i.cloudfront.net
0.0.0.0 d3mjsomixevyw7.cloudfront.net
0.0.0.0 d37ju0xanoz6gh.cloudfront.net
0.0.0.0 device-metrics-us.amazon.com
0.0.0.0 fkp.samsungcloudsolution.
0.0.0.0 game.internetat.tv
0.0.0.0 gld.samsungosp.com
0.0.0.0 i-stream.pl
0.0.0.0 log.internetat.tv
0.0.0.0 musicid.samsungcloudsolution.com
