! Original: https://adguardteam.github.io/HostlistsRegistry/assets/filter_50.txt
! Version: 1.0.18.22
! Last modified: 2025-06-18T14:52:43.638Z
! Transformed by: https://github.com/IgorKha/mikrotik-adlist
0.0.0.0 flexytalk.net
0.0.0.0 vlc.de
0.0.0.0 audacity.de
0.0.0.0 havenworks.com
0.0.0.0 7zip.es
0.0.0.0 7zip.fr
0.0.0.0 7zip.it
0.0.0.0 adblock.fr
0.0.0.0 aresgalaxy.es
0.0.0.0 audacity.es
0.0.0.0 audacity.fr
0.0.0.0 audacity.it
0.0.0.0 audacity.pl
0.0.0.0 azureus.es
0.0.0.0 bittorrent.es
0.0.0.0 bleachbit.com
0.0.0.0 blender3d.es
0.0.0.0 blender3d.fr
0.0.0.0 bluestacksdownloads.com
0.0.0.0 calibre.it
0.0.0.0 celestia.es
0.0.0.0 celestia.fr
0.0.0.0 clonezilla.es
0.0.0.0 clonezilla.fr
0.0.0.0 clonezilla.it
0.0.0.0 cyberduck.de
0.0.0.0 cyberduck.es
0.0.0.0 cyberduck.fr
0.0.0.0 cyberduck.it
0.0.0.0 filezilla.es
0.0.0.0 filezilla.fr
0.0.0.0 filezilla.it
0.0.0.0 filezilla.net
0.0.0.0 filezilla.pl
0.0.0.0 freefilesync.com
0.0.0.0 freerapid.fr
0.0.0.0 garagebandforpc.org
0.0.0.0 gimp.es
0.0.0.0 gparted.fr
0.0.0.0 gparted.it
0.0.0.0 greenshot.fr
0.0.0.0 greenshot.org
0.0.0.0 handbrake.es
0.0.0.0 handbrake.it
0.0.0.0 inkscape.es
0.0.0.0 inkscape.fr
0.0.0.0 inkscape.it
0.0.0.0 izarc.fr
0.0.0.0 jdownloader.fr
0.0.0.0 keepass.com
0.0.0.0 keepass.de
0.0.0.0 keepass.es
0.0.0.0 keepass.fr
0.0.0.0 keepass.it
0.0.0.0 keepassxc.com
0.0.0.0 notepad2.com
0.0.0.0 office.org
0.0.0.0 open-office.fr
0.0.0.0 openoffice.de
0.0.0.0 paintnet.es
0.0.0.0 paintnet.fr
0.0.0.0 paintnet.it
0.0.0.0 pdfsam.com
0.0.0.0 peazip.com
0.0.0.0 qbittorrent.com
0.0.0.0 scribus.fr
0.0.0.0 scribus.it
0.0.0.0 senuti.org
0.0.0.0 smplayer.org
0.0.0.0 stellarium.es
0.0.0.0 stellarium.fr
0.0.0.0 truecrypt.fr
0.0.0.0 truecrypt.it
0.0.0.0 unetbootin.net
0.0.0.0 unetbootin.org
0.0.0.0 utorrent.it
0.0.0.0 virtualbox.es
0.0.0.0 virtualbox.pl
0.0.0.0 hentaiplaytime.com
0.0.0.0 foxload.com
0.0.0.0 aksia.co
0.0.0.0 reimageplus.com
0.0.0.0 gjtech.net
0.0.0.0 kuhoot.it
0.0.0.0 gmboxx.com
0.0.0.0 mr.media-bucket.com
0.0.0.0 pl.allsports4free.club
0.0.0.0 pl.allsports4u.club
0.0.0.0 s3blog.org
0.0.0.0 tplinkextender.net
0.0.0.0 upload4earn.org
0.0.0.0 buzzadnetwork.com
0.0.0.0 abcdserver.com
0.0.0.0 americanoverlook.com
0.0.0.0 embols.com
0.0.0.0 endingthefed.com
0.0.0.0 goneleft.com
0.0.0.0 nephef.com
0.0.0.0 newsbreakshere.com
0.0.0.0 rilenews.com
0.0.0.0 thecontroversialfiles.net
0.0.0.0 voxtribune.com
0.0.0.0 checkisreal.com
0.0.0.0 mysecurify.com
0.0.0.0 developsincelock.com
0.0.0.0 gabriellalovecats.com
0.0.0.0 jackielovedogs.com
0.0.0.0 tomorrowwillbehotmaybe.com
0.0.0.0 nextyourcontent.com
0.0.0.0 doctopdftech.com
0.0.0.0 best2019-games-web4.com
0.0.0.0 searchdimension.com
0.0.0.0 beqbox.com
0.0.0.0 bblck.me
0.0.0.0 glinks.co
0.0.0.0 getsecuritysuite.com
0.0.0.0 tncrun.net
0.0.0.0 procdnvids.net
0.0.0.0 mybestclick.net
0.0.0.0 verified-extensions.com
0.0.0.0 smsiak.pl
0.0.0.0 smsy24.pl
0.0.0.0 video-adblock.com
0.0.0.0 vid-adblocker.com
0.0.0.0 multiadblock.com
0.0.0.0 popsads.link
0.0.0.0 adverdirect.com
0.0.0.0 bestwinexperience.com
0.0.0.0 traffic-go.com
0.0.0.0 streamssitesearch.com
0.0.0.0 trackertrak.com
0.0.0.0 bingstyle.com
0.0.0.0 redirekted.com
0.0.0.0 adpopblocker.com
0.0.0.0 trafficjunction.com
0.0.0.0 arclk.net
0.0.0.0 n06.biz
0.0.0.0 um-bredirect.com
0.0.0.0 glbltraffic.com
0.0.0.0 inspirationhistorical.com
0.0.0.0 maroohost.online
0.0.0.0 amigosdetuciudad.com
0.0.0.0 bb-delivery.icu
0.0.0.0 praterage-colled.com
0.0.0.0 pwrtds.com
0.0.0.0 trackbyfast.com
0.0.0.0 trfrc.com
0.0.0.0 1ts11.top
0.0.0.0 dating.hdxvideos.ru
0.0.0.0 elevisions.biz
0.0.0.0 harzfriends.de
0.0.0.0 urtyert.com
0.0.0.0 hsrvu.com
0.0.0.0 axdsz.pro
0.0.0.0 datingapp.live
0.0.0.0 adating.link
0.0.0.0 benaughty.com
0.0.0.0 bnewsblite.me
0.0.0.0 ckre.net
0.0.0.0 gotohouse2.cc
0.0.0.0 letmessagenow.com
0.0.0.0 x-soft.club
0.0.0.0 apilond.com
0.0.0.0 tracklyfast.com
0.0.0.0 pupok.link
0.0.0.0 ntvpevnts.com
0.0.0.0 aditserve.com
0.0.0.0 fecebook.com
0.0.0.0 fortuneadvert.com
0.0.0.0 lalielynaualish.com
0.0.0.0 casino-ice.fun
0.0.0.0 clicks.affstrack.com
0.0.0.0 tweitter.com
0.0.0.0 mqdownload.com
0.0.0.0 trwl1.com
0.0.0.0 s4f.net
0.0.0.0 cleardexchange.com
0.0.0.0 lone1y.com
0.0.0.0 tr1net.com
0.0.0.0 neighborhoodsluts.com
0.0.0.0 internetspeedtracker.com
0.0.0.0 system-update-new-2021.com
0.0.0.0 download-app.net
0.0.0.0 pu4.biz
0.0.0.0 privatesinglesmeet.com
0.0.0.0 readytosinglesmeet.com
0.0.0.0 cleanphonefast.com
0.0.0.0 reimageplusminus.me
0.0.0.0 theshoparound.com
0.0.0.0 onlineplus.click
0.0.0.0 trafempire.com
0.0.0.0 iamnaughty.com
0.0.0.0 iwantu.com
0.0.0.0 myhotdates.com
0.0.0.0 onenightfriend.com
0.0.0.0 buddygays.com
0.0.0.0 localsnapsext.com
0.0.0.0 heartmedia.biz
0.0.0.0 djin.site
0.0.0.0 antivirus.landerhd.com
0.0.0.0 love7date.info
0.0.0.0 bestsecretflirt.com
0.0.0.0 toplov.com
0.0.0.0 gegenhartz.de
0.0.0.0 marootrack.co
0.0.0.0 revpu.sh
0.0.0.0 cheaterboss.com
0.0.0.0 cumshots.com
0.0.0.0 real-women-online.com
0.0.0.0 monglitch.monster
0.0.0.0 d13nu0oomnx5ti.cloudfront.net
0.0.0.0 getmackeepersoftpro.xyz
0.0.0.0 familysimulator.
0.0.0.0 adblockfast.com
0.0.0.0 bookofsex.com
0.0.0.0 mydirtytinders.com
0.0.0.0 fuckmore.com
0.0.0.0 greengoplatform.com
0.0.0.0 transportgoline.com
0.0.0.0 onlyfreelesbianporn.com
0.0.0.0 family-simulators.com
0.0.0.0 your-dates-tonight.com
0.0.0.0 familysimulatorgame.com
0.0.0.0 trackingboost.com
0.0.0.0 update-protection.com
0.0.0.0 asiaxdate.com
0.0.0.0 hotsimulator.com
0.0.0.0 vehicle-insurance-quote.com
0.0.0.0 d135aysof2oufc.cloudfront.net
0.0.0.0 advidates.com
0.0.0.0 dvjqvdfujjvvkuyvhjqdvbjcmioljbhjmijq.s3.ap-northeast-1.amazonaws.com
0.0.0.0 cmprotraf.club
0.0.0.0 prelandappslab.com
0.0.0.0 di02.biz
0.0.0.0 adultonlineplay.com
0.0.0.0 fastandslut.com
0.0.0.0 familialsimulation.com
0.0.0.0 datingformeeting.com
0.0.0.0 familysimulators.
0.0.0.0 uoutube.com
0.0.0.0 celxkpdir.com
0.0.0.0 androidnotice.com
0.0.0.0 ooksamouth.net
0.0.0.0 valrogrowth.com
0.0.0.0 love88.club
0.0.0.0 familysexsimulators.io
0.0.0.0 grakorte.com
0.0.0.0 smart-redirecting.com
0.0.0.0 elooksjustli.one
0.0.0.0 keepsclean.com
0.0.0.0 magictrack1.com
0.0.0.0 my-cleaner.info
0.0.0.0 news-zolehe.com
0.0.0.0 ready-for-download.com
0.0.0.0 rcuacroossonec.com.ua
0.0.0.0 thbstvd.com
0.0.0.0 datingmeetnet.com
0.0.0.0 bndl-trp.com
0.0.0.0 clean-2-clean.club
0.0.0.0 top-official-app.com
0.0.0.0 pornonenight.com
0.0.0.0 youfindadate.top
0.0.0.0 xypthe.com
0.0.0.0 besluor.com
0.0.0.0 postyourlife.com
0.0.0.0 rplnd60.com
0.0.0.0 iwinprize.xyz
0.0.0.0 shosril.com
0.0.0.0 meetamate.site
0.0.0.0 dm09.biz
0.0.0.0 ultimate-clean.club
0.0.0.0 pcconelove.xyz
0.0.0.0 video.redwap.cam
0.0.0.0 cractica.xyz
0.0.0.0 beyourxfriend.com
0.0.0.0 bybygnom.com
0.0.0.0 paderrer.com
0.0.0.0 best-site-online.com
0.0.0.0 softronline.click
0.0.0.0 skipalos.xyz
0.0.0.0 makenoads.com
0.0.0.0 family-simulators.io
0.0.0.0 familyfornicate.com
0.0.0.0 speedtestnow.site
0.0.0.0 lovedatee.net
0.0.0.0 club-gagnant.online
0.0.0.0 dirtyfree.games
0.0.0.0 familycheaters.net
0.0.0.0 register.blissfulltimes.com
0.0.0.0 geheimerseitensprung.com
0.0.0.0 matches4you.info
0.0.0.0 reifenachbarn.com
0.0.0.0 naughtymets.com
0.0.0.0 linkprotecttrck.com
0.0.0.0 www3secure.com
0.0.0.0 midnighthookup.today
0.0.0.0 padsthai.com
0.0.0.0 dirtyflirt9.com
0.0.0.0 bestvideo.cloud
0.0.0.0 bmtracks.com
0.0.0.0 bustymeets.com
0.0.0.0 aht42trk.com
0.0.0.0 jasnathvibes.com
0.0.0.0 lewdmilfh22y.com
0.0.0.0 attractivecutiewcx.com
0.0.0.0 click-allow.top
0.0.0.0 spiendidates.com
0.0.0.0 alone-here.online
0.0.0.0 newonlinedates.com
0.0.0.0 apphasten.com
0.0.0.0 shinqueen.com
0.0.0.0 altairaquilae.com
0.0.0.0 himasearch.shop
0.0.0.0 trripwire.com
0.0.0.0 meet-flirts.com
0.0.0.0 mltrck.com
0.0.0.0 trckoja.com
0.0.0.0 trckams.com
0.0.0.0 pecuniatrck.com
0.0.0.0 smart-tds.com
0.0.0.0 nicking-unding.com
0.0.0.0 icetraff.com
0.0.0.0 pussycat1.online
0.0.0.0 guardlnkcaptcha.com
0.0.0.0 landings.namapper.com
0.0.0.0 throb.fun
0.0.0.0 throww.fun
0.0.0.0 dattter.shop
0.0.0.0 imp2.com
0.0.0.0 dunabear.com
0.0.0.0 mialifestyle.com
0.0.0.0 miafann.online
0.0.0.0 trckhoul.com
0.0.0.0 binomasia.com
0.0.0.0 trckotang.com
0.0.0.0 ct01.biz
0.0.0.0 ehnax.sbs
0.0.0.0 mobilerefreshpro.xyz
0.0.0.0 rekosx.co.in
0.0.0.0 remor.xyz
0.0.0.0 adultminglenight.click
0.0.0.0 derriks.site
0.0.0.0 datenaughtysingles.click
0.0.0.0 flirtyconnection.click
0.0.0.0 suitablepartner.life
0.0.0.0 ohmysweetromancespot.life
0.0.0.0 painfont.cyou
0.0.0.0 lamilagq.com
0.0.0.0 lurk-online.com
0.0.0.0 kissablepopsyv.click
0.0.0.0 matcher.one
0.0.0.0 onlyhotdgirl.com
0.0.0.0 playfulmilfs.com
0.0.0.0 wooqi.win
0.0.0.0 chemiclk.com
0.0.0.0 lovestrive.org
0.0.0.0 vcnbbtrack.com
0.0.0.0 zodertracker.com
0.0.0.0 latenightlovers.com
0.0.0.0 clickrotate.net
0.0.0.0 date2night.b-cdn.net
0.0.0.0 sweet-hot-lady.top
0.0.0.0 ntfck.com
0.0.0.0 malenirt.site
0.0.0.0 repostponing.cfd
0.0.0.0 arousalx.com
0.0.0.0 easyfinderke.com
0.0.0.0 eroticher.com
0.0.0.0 lovenestx.com
0.0.0.0 dekarise.site
0.0.0.0 elovify.com
0.0.0.0 derriar.site
0.0.0.0 sektfeb.top
0.0.0.0 b2base252.top
0.0.0.0 smartgethub.com
0.0.0.0 pin673.cyou
0.0.0.0 alwix.com
0.0.0.0 pixoff.one
0.0.0.0 wild-match-network.com
0.0.0.0 meetandlovenow.com
0.0.0.0 meetfindlove.com
0.0.0.0 connectifylink.com
0.0.0.0 discordvip.createsocialcard.top
0.0.0.0 whatsapp-32w.pages.dev
0.0.0.0 nudepopsy71c.com
0.0.0.0 c0nt4ct-me.pages.dev
0.0.0.0 ogtrk.net
0.0.0.0 mfilecloud.com
0.0.0.0 xsharenode.com
0.0.0.0 basesfiles.com
0.0.0.0 one-click.cc
0.0.0.0 descarga.pw
0.0.0.0 clc-link.me
0.0.0.0 gamefree.vip
0.0.0.0 gocrazy.gg
0.0.0.0 mi-hack.com
0.0.0.0 cheatworld.site
0.0.0.0 fusionhacks.pro
0.0.0.0 games-blacksoft.com
0.0.0.0 freefiles-upload.com
0.0.0.0 arcanecheat.com
0.0.0.0 projectglbl.lol
0.0.0.0 evilmods.com
0.0.0.0 zencloud.life
0.0.0.0 projecthygieia.com
0.0.0.0 pctopkey.com
0.0.0.0 zxcprogs.shop
0.0.0.0 fusionhacks.cc
0.0.0.0 phantomcorestudios.net
0.0.0.0 aimshare.pro
0.0.0.0 downloadsuite.pro
0.0.0.0 dropcheats.net
0.0.0.0 cloud-pack.org
0.0.0.0 cloud-deployments.org
0.0.0.0 tech-cloud.org
0.0.0.0 atnpx.com
0.0.0.0 best-winplace.life
0.0.0.0 checkup08.biz
0.0.0.0 webpushcloud.top
0.0.0.0 workerz1.com
0.0.0.0 koitushinterneinnehmen.s3.eu-central-1.amazonaws.com
0.0.0.0 sinder8.com
0.0.0.0 bigosext69.com
0.0.0.0 captcharesolving-universe.com
0.0.0.0 trfcbooost.com
0.0.0.0 turboadblocker.com
0.0.0.0 youtuba.com
0.0.0.0 bestbut.com
0.0.0.0 girhub.com
0.0.0.0 gmkail.com
0.0.0.0 goglle.com
0.0.0.0 linkefdin.com
0.0.0.0 twitterr.com
0.0.0.0 yautube.com
0.0.0.0 yourube.com
0.0.0.0 youtubee.com
0.0.0.0 youtunbe.com
0.0.0.0 youutube.com
0.0.0.0 youvetube.com
0.0.0.0 wanderlust.rocks
0.0.0.0 messagesafe.net
0.0.0.0 msgsafe.net
0.0.0.0 best4fuck.com
0.0.0.0 kuaizip.com
